Year,Month,GDP_nominal,GDP_real,Price_index
1963,9,102.32654424997895,10232.654424997894,1
1963,10,102.28661999803067,10228.661999803067,1
1963,11,95.89039982402602,9589.039982402603,1
1963,12,92.85668370512312,9285.668370512312,1
1964,1,105.02627161848005,10502.627161848006,1
1964,2,100.50496354125394,10050.496354125395,1
1964,3,98.02855945060278,9802.855945060279,1
1964,4,96.51585932368437,9651.585932368436,1
1964,5,93.01366313765647,9301.366313765646,1
1964,6,92.94877086967651,9294.87708696765,1
1964,7,88.69898249690254,8869.898249690254,1
1964,8,84.50409799649202,8450.409799649202,1
1964,9,89.01791734560294,8901.791734560295,1
1964,10,71.65524052139284,7165.524052139284,1
1964,11,69.3618675010197,6936.186750101971,1
1964,12,72.0715982616409,7207.15982616409,1
1965,1,64.79523278041417,6479.523278041417,1
1965,2,63.20957103449777,6320.957103449777,1
1965,3,86.15041300104883,8615.041300104884,1
1965,4,68.9665586572256,6896.6558657225605,1
1965,5,62.41780798018499,6241.780798018499,1
1965,6,54.91096094708568,5491.096094708568,1
1965,7,58.636817535085,5863.6817535085,1
1965,8,53.680177721340485,5368.017772134049,1
1965,9,48.04584148301002,4804.584148301003,1
1965,10,50.84160879725141,5084.160879725141,1
1965,11,47.91927964122216,4791.9279641222165,1
1965,12,47.36665399208087,4736.665399208087,1
1966,1,41.3165318269837,4131.65318269837,1
1966,2,45.42271312308965,4542.271312308965,1
1966,3,45.239997857555984,4523.999785755598,1
1966,4,31.406186007540352,3140.618600754035,1
1966,5,25.836077550201004,2583.6077550201003,1
1966,6,21.682472462694953,2168.2472462694955,1
1966,7,14.722170722180262,1472.2170722180263,1
1966,8,12.869972305814894,1286.9972305814895,1
1966,9,4.293677190756152,429.3677190756152,1
1966,10,0.7730853541618643,77.30853541618643,1
1966,11,-10.947003226809887,-1094.7003226809886,1
1966,12,-22.689788575001966,-2268.9788575001967,1
1967,1,-3.6504707132560856,-365.04707132560856,1
1967,2,-37.28624966441459,-3728.624966441459,1
1967,3,-38.43032545131983,-3843.032545131983,1
1967,4,-48.4808980968148,-4848.08980968148,1
1967,5,-59.79616762374079,-5979.616762374079,1
1967,6,-69.91333405494001,-6991.3334054940005,1
1967,7,-68.87359741325574,-6887.359741325574,1
1967,8,-53.28315772152892,-5328.315772152892,1
1967,9,-81.7392150026034,-8173.9215002603405,1
1967,10,-103.36096927931985,-10336.096927931985,1
1967,11,-72.77262057452177,-7277.262057452177,1
1967,12,-73.06936891105063,-7306.936891105063,1
1968,1,30.44458568825078,3044.4585688250777,1
1968,2,12.847043200540924,1284.7043200540925,1
1968,3,8.82080360297634,882.0803602976341,1
1968,4,11.968666872715922,1196.8666872715921,1
1968,5,2.5134329869163707,251.34329869163707,1
1968,6,-14.161098077263865,-1416.1098077263866,1
1968,7,-5.58212634266706,-558.212634266706,1
1968,8,-6.062851832135749,-606.2851832135749,1
1968,9,-30.055472256752182,-3005.547225675218,1
1968,10,-16.96515845339154,-1696.5158453391539,1
1968,11,-27.70206392073007,-2770.206392073007,1
